"practice_code","practice_name","postcode","latitude","longitude","lad_code","number_of_patients","admin_non_clinical","direct_patient_care","gp","nurses","total_appointments","estimated_wait_time"
"A81044","Mckenzie House Surgery","TS25 1QU","54.672422","-1.210386","E06000001",18971,"88","10","28","26","13202","5.23"
"A81612","The Patel Practice","TS25 1AX","54.661404","-1.188571","E06000001",4008,"18","2","6","4","1988","10.33"
"A81631","West View Millenium Surgery A","TS24 9LJ","54.709879","-1.222805","E06000001",7529,"28","2","12","10","4148","7.20"
"A81041","Hart Medical Practice","TS24 9DN","54.704169","-1.223519","E06000001",9429,"30","6","10","6","3922","7.36"
"A81007","Bankhouse Surgery","TS24 7PW","54.682342","-1.214164","E06000001",10621,"36","4","20","6","4604","4.91"
"A81011","Chadwick Practice","TS24 7PW","54.682342","-1.214164","E06000001",11890,"34","8","8","12","5197","5.97"
"A81031","Havelock Grange Practice","TS24 7PW","54.682342","-1.214164","E06000001",13688,"42","4","27","16","6218","10.87"
"A81063","The Headland Medical Centre","TS24 0NZ","54.696641","-1.183105","E06000001",5362,"22","4","4","6","2387","7.63"
"A81622","Gladstone House Surgery","TS26 8DF","54.6852","-1.218577","E06000001",5666,"12","2","4","2","2604","7.69"
"A81060","West Quay Medical Practice","TS26 8DB","54.684861","-1.217233","E06000001",6304,"18","8","6","8","3609","5.58"
"A81070","Mckenzie Group Practice","TS25 3DQ","54.660465","-1.239266","E06000001",6171,"6","0","0","2","2598","6.01"
"A81611","Parkway Medical Centre","TS8 0TL","54.524805","-1.213762","E06000002",9378,"24","6","18","8","8024","2.73"
"A81064","The Discovery Practice","TS1 2NX","54.575047","-1.235397","E06000002",8510,"28","4","6","14","4366","4.53"
"A81037","The Erimus Practice","TS1 2NX","54.575047","-1.235397","E06000002",6590,"22","4","10","6","2537","9.12"
"A81029","Prospect Surgery","TS1 2NX","54.575047","-1.235397","E06000002",7133,"24","2","12","4","2580","9.50"
"A81023","The Endeavour Practice","TS1 2NX","54.575047","-1.235397","E06000002",8660,"26","6","16","6","4051","6.24"
"A81016","Park Surgery","TS1 3QY","54.566667","-1.240007","E06000002",12309,"46","8","10","20","4781","8.45"
"A81035","Newlands Medical Centre","TS1 3RX","54.571931","-1.226035","E06000002",9731,"38","4","18","6","3521","6.99"
"A81030","Borough Road & Nunthorpe Medical Group","TS1 3RY","54.571966","-1.227209","E06000002",16775,"66","8","24","12","7927","13.13"
"A81049","Kings Medical Centre","TS3 6AL","54.571738","-1.216246","E06000002",6489,"28","2","10","2","2491","4.42"
"A81038","Hirsel Medical Centre","TS3 6AL","54.571738","-1.216246","E06000002",3779,"16","2","4","2","1676","5.03"
"A81012","Westbourne Medical Centre","TS3 6AL","54.571738","-1.216246","E06000002",5695,"20","6","8","4","2762","4.81"
"A81019","Crossfell Health Centre","TS3 7RL","54.560833","-1.203883","E06000002",8905,"24","4","14","4","4314","9.12"
"A81621","Thorntree Surgery","TS3 9NB","54.565208","-1.18346","E06000002",2763,"22","4","10","12","1114","8.79"
"Y03303","The Ridgeway Health Centre","TS4 3AF","54.555732","-1.217681","E06000002",18,"0","0","0","0","0",NULL
"A81020","Martonside Medical Centre","TS4 3BU","54.553175","-1.220329","E06000002",7898,"30","8","16","10","3528","7.03"
"A81051","Cambridge Medical Group","TS5 5NN","54.554149","-1.2523","E06000002",7279,"24","4","10","8","4247","9.23"
"A81026","Linthorpe Surgery","TS5 6HA","54.563343","-1.241615","E06000002",20956,"62","10","38","12","7739","9.48"
"A81009","Village Medical Centre","TS5 6HF","54.562285","-1.241897","E06000002",8107,"30","2","10","10","5149","3.67"
"A81004","Acklam Medical Centre","TS5 8SB","54.538198","-1.262142","E06000002",11339,"40","4","10","14","4345","10.83"
"A81058","Coulby Medical Practice","TS8 0TL","54.524805","-1.213762","E06000002",9266,"50","6","16","12","5618","4.60"
"A81021","Normanby Medical Centre","TS6 6TD","54.571137","-1.168042","E06000003",22864,"90","14","26","28","11718","9.46"
"A81042","South Grange Medical Group Practice","TS6 9QG","54.569955","-1.166506","E06000003",15458,"64","18","30","18","8993","6.19"
"A81065","The Eston Surgery","TS6 6TD","54.571137","-1.168042","E06000003",3703,"8","6","2","4","1743","4.21"
"A81005","Springwood Surgery","TS14 7DJ","54.532597","-1.055444","E06000003",7663,"36","2","18","6","4115","7.74"
"A81032","The Garth","TS14 7DJ","54.532597","-1.055444","E06000003",11604,"46","8","22","12","6206","9.02"
"A81053","Woodside Surgery","TS13 4HW","54.55391","-0.886787","E06000003",5866,"18","6","8","6","3160","7.43"
"A81022","Hillside Practice","TS12 2TG","54.563154","-0.980814","E06000003",9391,"40","8","16","8","5483","6.75"
"A81013","Brotton Surgery","TS12 2FF","54.565266","-0.936357","E06000003",7667,"28","2","8","6","3420","11.74"
"A81618","Huntcliff Surgery","TS12 1BJ","54.582762","-0.974692","E06000003",9982,"30","6","12","12","4958","6.52"
"A81048","Zetland Medical Practice","TS11 7BL","54.5917","-1.016392","E06000003",6985,"36","8","16","6","3897","11.09"
"A81018","Bentley Medical Practice","TS10 4NW","54.600591","-1.069722","E06000003",10215,"42","6","8","12","6500","3.04"
"A81052","The Green House Surgery","TS10 4NW","54.600591","-1.069722","E06000003",10050,"38","18","13","12","5655","7.70"
"Y00286","The Ravenscar Surgery","TS10 4NW","54.600591","-1.069722","E06000003",3383,"16","0","6","6","2003","7.40"
"A81054","The Saltscar Surgery","TS10 1UA","54.616282","-1.073638","E06000003",8529,"36","2","12","14","5037","11.57"
"A81045","The Coatham Road Surgery","TS10 1SR","54.617378","-1.071941","E06000003",6243,"28","8","10","4","4561","6.02"
"A81039","Eaglescliffe Medical Practice","TS16 9EA","54.520013","-1.348119","E06000004",12780,"36","2","16","8","4331","11.01"
"A81057","Kingsway Medical Centre","TS23 2LS","54.606459","-1.289009","E06000004",9906,"32","2","14","12","4133","5.72"
"A81014","Queenstree Practice","TS23 2LA","54.608291","-1.294798","E06000004",4156,"20","2","6","4","1833","14.11"
"A81056","Melrose Surgery","TS23 2JW","54.609397","-1.287301","E06000004",2377,"12","0","4","4","1205","6.43"
"A81040","Marsh House Medical Practice","TS23 2DG","54.611726","-1.292215","E06000004",8516,"40","4","16","4","2424","7.93"
"A81602","Dr Rasool","TS23 2DG","54.611726","-1.292215","E06000004",2197,"10","0","2","6","916","6.24"
"A81610","The Roseberry Practice","TS23 2DG","54.611726","-1.292215","E06000004",7938,"14","0","4","10","3316","6.74"
"A81066","Park Lane Surgery","TS21 1JS","54.604639","-1.425131","E06000004",5422,"16","4","10","4","2193","9.70"
