"lad_code","local_authority","region","life_expectancy","population","deprived"
"E06000001","Hartlepool","North East","78.52","95366","0.578"
"E06000002","Middlesbrough","North East","77.83","152650","0.578"
"E06000003","Redcar and Cleveland","North East","78.82","137938","0.559"
"E06000004","Stockton-on-Tees","North East","80.17","202415","0.516"
"E06000005","Darlington","North East","79.47","110562","0.514"
"E06000006","Halton","North West","78.80","129587","0.568"
"E06000007","Warrington","North West","80.30","212389","0.481"
"E06000008","Blackburn with Darwen","North West","78.34","157503","0.588"
"E06000009","Blackpool","North West","75.76","142708","0.618"
"E06000010","Kingston upon Hull, City of","Yorkshire and The Humber","78.11","271942","0.588"
"E06000011","East Riding of Yorkshire","Yorkshire and The Humber","81.42","350119","0.489"
"E06000012","North East Lincolnshire","Yorkshire and The Humber","78.99","158335","0.560"
"E06000013","North Lincolnshire","Yorkshire and The Humber","79.73","170087","0.539"
"E06000014","York","Yorkshire and The Humber","82.06","206780","0.461"
"E06000015","Derby","East Midlands","80.19","266460","0.544"
"E06000016","Leicester","East Midlands","79.15","379780","0.612"
"E06000017","Rutland","East Midlands","84.15","40643","0.420"
"E06000018","Nottingham","East Midlands","78.72","329276","0.584"
"E06000019","Herefordshire, County of","West Midlands","81.35","189890","0.506"
"E06000020","Telford and Wrekin","West Midlands","80.26","191915","0.540"
"E06000021","Stoke-on-Trent","West Midlands","78.80","263157","0.589"
"E06000022","Bath and North East Somerset","South West","82.84","199818","0.459"
"E06000023","Bristol, City of","South West","80.81","482998","0.498"
"E06000024","North Somerset","South West","82.41","221146","0.485"
"E06000025","South Gloucestershire","South West","82.95","299439","0.461"
"E06000026","Plymouth","South West","80.82","268736","0.545"
"E06000027","Torbay","South West","80.88","139485","0.579"
"E06000030","Swindon","South West","81.73","238417","0.507"
"E06000031","Peterborough","East of England","79.64","219509","0.550"
"E06000032","Luton","East of England","80.77","231028","0.587"
"E06000033","Southend-on-Sea","East of England","80.46","182271","0.544"
"E06000034","Thurrock","East of England","80.89","178201","0.543"
"E06000035","Medway","South East","80.51","286800","0.535"
"E06000036","Bracknell Forest","South East","83.54","128351","0.436"
"E06000037","West Berkshire","South East","82.86","163367","0.440"
"E06000038","Reading","South East","81.51","178196","0.488"
"E06000039","Slough","South East","80.29","160713","0.577"
"E06000040","Windsor and Maidenhead","South East","83.38","155239","0.410"
"E06000041","Wokingham","South East","83.88","183870","0.385"
